,h,t,r,type,newEntities,pair_c
11648,Q48422,Q215392,is,KG,,default
11649,1950s,Q585,is in,Open_KG,head_,default
11650,Q1415086,Q36,is in,KG,,default
11651,Q1255921,Q106685,is,KG,,default
11652,Q1300660,Q106685,is,KG,,default
11653,Q56474015,Q183,of Federation is,KG,,default
11654,Q56474015,1,of Federation is,Open_KG,tail_,default
11655,Q43702,Q29,is in,KG,,default
11656,it,Q1433373,was,Open_KG,head_,default
11657,Q5338195,Q468777,is in,KG,,default
11658,Q1415086,Q198,was,KG,,default
11659,Q1415086,Q145,is in,KG,,default
11660,Q203403,Q35794,'s College is,KG,,default
11661,Q2422019,Q35794,University of,KG,,default
11662,Q203403,Q35794,'s College is,KG,,default
11663,Q203403,Q1415086,has,KG,,default
11664,Q3914,Q145,is in,KG,,default
11665,Q174769,Q40056,is in,KG,,default
11666,Q1415086,Q488004,is in,KG,,default
11667,Q1415086,Q16555,is in,KG,,default
11668,Q16555,Q16555,is in,KG,,default
11669,Q488004,Q606900,Society in,KG,,default
11670,Q1415086,Q1767655,in Society is,KG,,default
11671,Q1415086,Q30,is in,KG,,default
11672,Q664773,Q16555,Society in,KG,,default
11673,Q3297997,Q1415086,is in,KG,,default
11674,Q664773,Q488004,Society in,KG,,default
11675,Q3297997,Q9439,is in,KG,,default
11676,Q488004,Q581044,Society of,KG,,default
11677,Q1415086,Q49088,is in,KG,,default
11678,Q1415086,Q49088,is in,KG,,default
11679,Q11424,Q30,is in,KG,,default
11680,Q16555,Q847538,Society in,KG,,default
11681,Q9439,Q1767655,in Society is,KG,,default
11682,Q1415086,Q606900,is in,KG,,default
11683,Q1415086,Q1415086,is in,KG,,default
11684,Q1415086,Q1415086,is in,KG,,default
11685,Q1415086,Q847538,is in,KG,,default
11686,Q1415086,Q283992,of History is,KG,,default
11687,Q1239456,Q1937781,is in,KG,,default
11688,Q4985954,often known,are,Open_KG,tail_,default
11689,Q9887,Q618,is talking to,KG,,default
11690,Q131212,Q29485,cover up,KG,,default
11691,Q283916,Q178651,is in,KG,,default
11692,Q6808424,Q1229245,is,KG,,default
11693,Q6808424,Q7098804,is,KG,,default
11694,Q6808424,Q1063,is,KG,,default
11695,Q7901733,Q6808424,is in,KG,,default
11696,backlighting,Q57305415,create,Open_KG,head_,default
11697,that,Q17007759,uses,Open_KG,head_,default
11698,Q3297681,Q23558,has,KG,,default
11699,Q1107679,Q23154,is in,KG,,default
11700,Q1369832,2016,is in,Open_KG,tail_,default
11701,Q724759,Q1369832,following,KG,,default
11702,This,Q1286627,is selected,Open_KG,head_,default
11703,Err:510,Q3025404,is In,Open_KG,head_,default
11704,Q2410603,Q18389443,has,KG,,default
11705,Q30597962,Q3025404,is In,KG,,default
11706,Q10290214,Q11424,is in,KG,,default
11707,Q289217,Q15328,starts,KG,,default
11708,Q562013,Q1128631,is in,KG,,default
11709,Q102014,Q11424,is in,KG,,default
11710,Q783794,Q1740954,producing,KG,,default
11711,Q468455,Q194189,is in,KG,,default
11712,they,Q16874643,function as,Open_KG,head_,default
11713,they,Q4830453,are,Open_KG,head_,default
11714,Q207960,it,co-directing,Open_KG,tail_,default
11715,his,Q4864956,studio,Open_KG,head_,default
11716,Q652000,Q3046385,'s employee is,KG,,default
11717,Q652000,Q746628,has,KG,,default
11718,Q1071027,Q1107679,is in,KG,,default
11719,Q816038,1928,is in,Open_KG,tail_,default
11720,Q7414,Q2532754,be seen with,KG,,default
11721,Q13974,Q60,is in,KG,,default
11722,They,Q13974,were,Open_KG,head_,default
11723,They,Q13974,were shown on,Open_KG,head_,default
11724,Q4241570,1948,is in,Open_KG,tail_,default
11725,Q581714,1948,Rabbit in,Open_KG,tail_,default
11726,Its,Q4065275,creator,Open_KG,head_,default
11727,his,Q2428093,studio,Open_KG,head_,default
11728,Q169427,Q11425,title,KG,,default
11729,their,H.B. Enterprises,studio,Open_KG,head_tail_,default
11730,Q50000,Q170198,is with,KG,,default
11731,Q661062,Q4744398,is in,KG,,default
11732,they,larger,became,Open_KG,head_tail_,default
11733,Q533668,Q29017603,is with,KG,,default
11734,them,Q746628,license out movies,Open_KG,head_,default
11735,Q730179,1948,formed in,Open_KG,tail_,default
11736,Q871403,1948,is in,Open_KG,tail_,default
11737,Q11425,Q17,is in,KG,,default
11738,Q17,Q6941255,first made for,KG,,default
11739,He,Q48102683,influenced by,Open_KG,head_,default
11740,Q1377135,their own,had opened,Open_KG,tail_,default
11741,Q746628,Q673036,' show is,KG,,default
11742,Q53858110,1963,is in,Open_KG,tail_,default
11743,Q1377135,Q289,had opened,KG,,default
11744,Q4658963,Q80994,is in,KG,,default
11745,Q271697,Q1286,Girl of,KG,,default
11746,Q21493144,Q9420,has,KG,,default
11747,Q650467,Q182950,of Valley is,KG,,default
11748,his,Q178713,friend,Open_KG,head_,default
11749,Q17,Q11424,has,KG,,default
11750,Q295466,Q42213,has,KG,,default
11751,Q101244,1984,began in,Open_KG,tail_,default
11752,Q101244,Q290687,often be misunderstood for,KG,,default
11753,they,Q309314,show,Open_KG,head_,default
11754,they,remade,been,Open_KG,head_tail_,default
11755,Q220898,Q1740954,are,KG,,default
11756,Q220898,Since derived,are,Open_KG,tail_,default
11757,Q5713870,Q813912,participating in,KG,,default
11758,Q786375,Q93288,has,KG,,default
11759,Q11488158,Q1107679,is in,KG,,default
11760,Q117364,Q93288,is in,KG,,default
11761,Q945895,Q577,is in,KG,,default
11762,Q1324888,when played back,are,Open_KG,tail_,default
11763,Q301092,Q53662,Notable studios,KG,,default
11764,Q127552,Q6000351,Notable studios,KG,,default
11765,1874 1878 1887 1888 1889 1890 1891 1892 1893 1894 1895 1896 1897 1898 1899 1900s,Q11424,is in,Open_KG,head_,default
11766,2000s,Q11424,is in,Open_KG,head_,default
11767,Q52715628,Q11424,is in,KG,,default
11768,Q6955,Q11424,is in,KG,,default
11769,Q6939,Q11424,is in,KG,,default
11770,Q6927,Q11424,is in,KG,,default
11771,Q577,Q11424,is in,KG,,default
11772,1800s,Q11424,is in,Open_KG,head_,default
11773,Q170924,Q11424,is in,KG,,default
11774,Q208674,Q316,words for,KG,,default
11775,Q625642,Q625642,of portmanteau is,KG,,default
11776,Q170924,Q41253,is in,KG,,default
11777,Q5,Q170924,is with,KG,,default
11778,Q6234707,Q1860,is In,KG,,default
11779,Q1092380,Q12136,is,KG,,default
11780,Q11424,which,is in,Open_KG,tail_,default
11781,Q166118,Q1415247,devoted to,KG,,default
11782,Q515,Q8059289,amongst,KG,,default
11783,Q1163564,Q8059289,interest amongst,KG,,default
11784,Q170924,Q1150666,is in,KG,,default
11785,Q1163564,Q1150666,interest in,KG,,default
11786,Q11424,Q170924,of programs is,KG,,default
11787,Q55391,Q83158,members,KG,,default
11788,Q2083958,Q172008,cinephiles of,KG,,default
11789,Q397,Q321621,Club of,KG,,default
11790,they,Q1351911,had achieved,Open_KG,head_,default
11791,Q170924,Q2526255,is in,KG,,default
11792,Q1357284,Q30,is in,KG,,default
11793,Q11424,Q30,is in,KG,,default
11794,Q321839,Q30,is in,KG,,default
11795,Q6256,Q6155948,distributors such,KG,,default
11796,Q29627,Q11424,is in,KG,,default
11797,Q191145,Q30,is in,KG,,default
11798,Q6428674,Q191145,also saw,KG,,default
11799,filmgoing,Q11635,is in,Open_KG,head_,default
11800,Q1092380,Q11635,less associated with,KG,,default
11801,Q17281278,Q170924,is in,KG,,default
11802,Q6234707,Q41253,is in,KG,,default
11803,blogging,Q11042,large part of,Open_KG,head_,default
11804,blogging,Q7401,has become,Open_KG,head_,default
11805,Q214339,Q170924,is in,KG,,default
11806,Q170924,Q11424,is in,KG,,default
11807,Q309314,Q5428530,including Collection is,KG,,default
11808,Q309314,Q5051880,including Collection is,KG,,default
11809,Q1954593,Q1937781,Masters of,KG,,default
11810,Q309314,Q6785451,including Collection is,KG,,default
11811,Q309314,Q24238946,is with,KG,,default
11812,Q1954593,Q6234707,cater to,KG,,default
11813,Q8188561,Q1092380,is with,KG,,default
11814,Q11424,Q75,international cinephilic community,KG,,default
11815,filmgoing,Q177634,is in,Open_KG,head_,default
11816,Q170924,Q41253,is in,KG,,default
11817,Q170924,Q46744,is with,KG,,default
11818,Q170924,Q289,is in,KG,,default
11819,Q289,Q17641254,is in,KG,,default
11820,Q83012,1980s,is in,Open_KG,tail_,default
11821,it,Q215408,regime of,Open_KG,head_,default
11822,Q16960686,Q482980,look at,KG,,default
11823,Q3989361,Q2740768,'s Dictionary is,KG,,default
11824,Q571,Q14754876,documentary about,KG,,default
11825,Q3989361,Q16960686,has,KG,,default
11826,Q53858110,Q128124,has,KG,,default
11827,It,Q128267,was,Open_KG,head_,default
11828,Q1384640,Q11424,guests from,KG,,default
11829,Q750733,Q1996375,is with,KG,,default
11830,Q336286,Q34006,is in,KG,,default
11831,Q786279,Q264596,Nights with,KG,,default
11832,Q21869399,Q264596,is with,KG,,default
11833,Q687743,Q1141210,of Wings is,KG,,default
11834,Q622988,Q439152,Son of,KG,,default
11835,Q29652910,Q201608,is in,KG,,default
11836,Q582272,Q7191144,has,KG,,default
11837,Q582272,Q11424,'s Pictures is,KG,,default
11838,Q29652910,Q201608,is in,KG,,default
11839,Q656554,Q118,is in,KG,,default
11840,Q582272,Q970803,has,KG,,default
11841,Q299222,Q675618,is in,KG,,default
11842,Q696575,1954,of Adventures is,Open_KG,tail_,default
11843,Q18040028,Q726929,Federation of,KG,,default
11844,It,Q56019,was published under,Open_KG,head_,default
11845,Q7637199,Q315,is in,KG,,default
11846,It,trilingual,is,Open_KG,head_tail_,default
11847,Q131212,Q426080,is,KG,,default
11848,Q131212,Q426080,is,KG,,default
11849,Q5220732,Q571,up to,KG,,default
11850,Q1701027,Q7315950,’s,KG,,default
11851,Q15524911,Q5220732,is with,KG,,default
11852,Q178651,Q1701027,is with,KG,,default
11853,Q20899,Q178651,is with,KG,,default
11854,Q8006,Q42213,has,KG,,default
11855,Q3072120,Q42213,against,KG,,default
11856,Q1329910,Q838247,is in,KG,,default
11857,Q17955,Q9510,is with,KG,,default
11858,Q11424,while were widely viewed,were,Open_KG,tail_,default
11859,Q26448025,Q11424,has,KG,,default
11860,Q271960,Q577714,led to,KG,,default
11861,Q21512208,Q11424,has,KG,,default
11862,Q7413081,Q641,to equality is,KG,,default
11863,Q319221,Q167475,'s filmmaker is,KG,,default
11864,Q875797,individual,that of,Open_KG,tail_,default
11865,Q183816,his,perfectionism,Open_KG,tail_,default
11866,Q21512208,Q42298454,has,KG,,default
11867,I,him,greatest respect for,Open_KG,head_tail_,default
11868,Q2526255,Q184148,has,KG,,default
11869,Q2526255,Q184148,is with,KG,,default
11870,Q132,Q4819745,drama at_time,KG,,default
11871,Q133250,Q3010,is excruciating,KG,,default
11872,Q133250,Q3010,is while,KG,,default
11873,Q19809,Q1525645,is in,KG,,default
11874,Q211939,Q5287,is in,KG,,default
11875,this,Q2698298,is,Open_KG,head_,default
11876,Q34394,Q8441,is in,KG,,default
11877,Q578,Q911871,is in,KG,,default
11878,Q34394,Q3843334,is in,KG,,default
11879,Q185957,Q152105,films like,KG,,default
11880,Q2248623,Q565231,writing of,KG,,default
11881,Q8188561,Q11424,is in,KG,,default
11882,Q11424,Q32483,in case is,KG,,default
11883,Q8188561,Q32483,remarks by,KG,,default
11884,Q32483,Yojimbo,is in,Open_KG,tail_,default
11885,Q1642590,Q42213,is in,KG,,default
11886,Q26448025,Q41253,has,KG,,default
11887,his,Most Beautiful,film,Open_KG,head_tail_,default
11888,Q739302,Q5190563,Only indomitable spirit of,KG,,default
11889,There can improvement,Q739302,is in,Open_KG,head_,default
11890,Q5,Q41253,has,KG,,default
11891,Q26448025,Q342522,has,KG,,default
11892,Q11424,Q36161,is,KG,,default
11893,Arseniev,Q8441,has,Open_KG,head_,default
11894,his,Arseniev,friend,Open_KG,head_tail_,default
11895,Arseniev,them,rescues,Open_KG,head_tail_,default
11896,her,Q1077108,nephew,Open_KG,head_,default
11897,Q193174,Q122,is in,KG,,default
11898,Q193174,Q28856068,centers on,KG,,default
11899,subject,Q198,horrors of,Open_KG,head_,default
11900,Q32483,Q11424,is in,KG,,default
11901,Q467,potential,has,Open_KG,tail_,default
11902,Q32483,Q135465,is in,KG,,default
11903,Q26448025,Q6495515,has,KG,,default
11904,Q467,Q26448025,is in,KG,,default
11905,Q26448025,Q11424,has,KG,,default
11906,Q467,Q11424,is in,KG,,default
11907,Q4049121,Yojimbo,is in,Open_KG,tail_,default
11908,Q1393724,Q3957,is in,KG,,default
11909,Q26448025,Q5361983,was,KG,,default
11910,Q26448025,Q5361983,was,KG,,default
11911,Q26448025,Q5361983,was,KG,,default
11912,Q26448025,Q5361983,was,KG,,default
11913,samurai,Q1499786,has,Open_KG,head_,default
11914,Q5294,Q1484457,on commentary is,KG,,default
11915,her,Q1484457,commentary,Open_KG,head_,default
11916,Q26448025,progressive,was,Open_KG,tail_,default
11917,Q26448025,progressive,was,Open_KG,tail_,default
11918,Q26448025,progressive,was,Open_KG,tail_,default
11919,Q26448025,progressive,was,Open_KG,tail_,default
11920,Q131512,too stupid,are,Open_KG,tail_,default
11921,Q178651,me,is with,Open_KG,tail_,default
11922,they,Q19849051,were,Open_KG,head_,default
11923,Q36534,1970s,is in,Open_KG,tail_,default
11924,he,Q211198,attract,Open_KG,head_,default
11925,he,Q178354,part of,Open_KG,head_,default
11926,Q190007,Q1329910,is in,KG,,default
11927,I,Q5287,'m,Open_KG,head_,default
11928,I,Q5287,'m,Open_KG,head_,default
11929,Q23797,Q9510,is with,KG,,default
11930,Q690182,Q14754876,is with,KG,,default
11931,Q273120,Q17,is in,KG,,default
11932,Q14754876,Q1347572,is with,KG,,default
11933,Q4819745,1978,writing in,Open_KG,tail_,default
11934,it,Q17103966,something about,Open_KG,head_,default
11935,Q194517,Q7542992,is in,KG,,default
11936,He,himself,devotes completely,Open_KG,head_tail_,default
11937,he,Q450,has envisioned in,Open_KG,head_,default
11938,Q2348520,Q64390886,is in,KG,,default
11939,Q1274026,2008,Joan at_time,Open_KG,tail_,default
11940,Q169452,Q27963643,has,KG,,default
11941,Q56540465,1999,Donald at_time,Open_KG,tail_,default
11942,Q3966,Q2666112,allowed for,KG,,default
11943,Q1093522,Q183,is in,KG,,default
11944,Phantasmagorie,Parisian periodical Affiches,is in,Open_KG,head_tail_,default
11945,Q9200,simply Phylidor,also known as,Open_KG,tail_,default
11946,Q1071233,Q23387,had,KG,,default
11947,Q9788,Q53858110,also promoted,KG,,default
11948,Phylidor,Q53858110,has,Open_KG,head_,default
11949,Phantasmorasi,Q1741,is in,Open_KG,head_,default
11950,Q174923,Q84,is in,KG,,default
11951,Q53858110,1801,is in,Open_KG,tail_,default
11952,Q5244212,Q5,are believed,KG,,default
11953,his,Q1003681,book,Open_KG,head_,default
11954,Q3250324,Q1395012,is with,KG,,default
11955,Q526613,Q93184,has,KG,,default
11956,Q13147,it,putting back,Open_KG,tail_,default
11957,Q519967,convex lenses,is with,Open_KG,tail_,default
11958,Q13147,it,putting back again,Open_KG,tail_,default
11959,Q1326621,Q788790,form,KG,,default
11960,Q9438,Q862454,has,KG,,default
11961,Q5,Q566,is in,KG,,default
11962,Q148401,Q16502,is in,KG,,default
11963,I,him,was greater,Open_KG,head_tail_,default
11964,I,Q148401,was,Open_KG,head_,default
11965,Q7145017,Q1200750,has,KG,,default
11966,rise,Q7015,last decades of,Open_KG,head_,default
11967,Q1671614,Q364526,is with,KG,,default
11968,rise,Q2751586,popular interest in,Open_KG,head_,default
11969,Q170924,Q2751586,is in,KG,,default
11970,Q50000,Q170584,was good,KG,,default
11971,Q177413,Since believed,were,Open_KG,tail_,default
11972,Q6731044,Q53858110,use magic lantern in,KG,,default
11973,Err:510,Q7683,is In,Open_KG,head_,default
11974,Q7683,Q2079,is in,KG,,default
11975,Q2079,Q277760,necromancer of,KG,,default
11976,Q3016313,Q101687,is with,KG,,default
11977,Q50298131,Q25235,fast for,KG,,default
11978,Q36402,Q3016313,is in,KG,,default
11979,robed Schrepfer,Q50298131,demanded,Open_KG,head_,default
11980,Q13147,Q831691,circle on,KG,,default
11981,Q1093522,Q1761192,is in,KG,,default
11982,Q41487,Q16560,is in,KG,,default
11983,Q282049,Q1093522,highlight of was,KG,,default
11984,Q1162163,Q33767,is in,KG,,default
11985,Q62659310,Q1162163,is with,KG,,default
11986,Q151826,Q1202,Elector of,KG,,default
11987,Q1093522,Q1731,is in,KG,,default
11988,Q5244212,Q56139,has,KG,,default
11989,Q5155473,Q1794,is in,KG,,default
11990,Q56139,Q5155473,take letter to,KG,,default
11991,him,Q124,early morning of,Open_KG,head_,default
11992,him,Q11326182,so.In at_time,Open_KG,head_,default
11993,Q1907525,Q22698,is in,KG,,default
11994,he,himself,resurrect,Open_KG,head_tail_,default
11995,he,himself,resurrect afterwards,Open_KG,head_tail_,default
11996,Q79784,Q105186,is with,KG,,default
11997,Schrepfer,Q2995644,reportedly used for,Open_KG,head_,default
11998,Schrepfer,Q1351911,has,Open_KG,head_,default
11999,Q1347367,Q45529,raise,KG,,default
12000,Linck,Q1351911,expanding,Open_KG,head_,default
12001,Q1347367,Q45529,raise,KG,,default
12002,Q732577,Q7958,included,KG,,default
12003,Q5,Q1093522,recreate,KG,,default
12004,Q5,Q1093522,recreate,KG,,default
12005,Schrepfer,Q1093522,has,Open_KG,head_,default
12006,Q2600252,Q154804,Professor at,KG,,default
12007,Q2600252,Q413,Professor of,KG,,default
12008,he,Q36524,stop by,Open_KG,head_,default
12009,he,Q36524,however was ordered,Open_KG,head_,default
12010,Q53858110,1790,is in,Open_KG,tail_,default
12011,charlatans,Q211198,fooled,Open_KG,head_,default
12012,Q932410,Q64,is in,KG,,default
12013,Q932410,1789,is in,Open_KG,tail_,default
12014,Q50000,Q1741,is in,KG,,default
12015,Q203229,Q25206207,has,KG,,default
12016,Phylidor,1792,left Vienna in,Open_KG,head_tail_,default
12017,Q9200,Q739330,probably using term for,KG,,default
12018,It,inspired,was,Open_KG,head_tail_,default
12019,Q16226063,Q3992,inventor from,KG,,default
12020,fantascope,Q81741,was,Open_KG,head_,default
12021,they,his fantascope,were in,Open_KG,head_tail_,default
12022,they,while his fantascope,were in,Open_KG,head_tail_,default
12023,Q183,Q90,is in,KG,,default
12024,Q478798,Q5290,actually moving on,KG,,default
12025,Q8104,Q515,is in,KG,,default
12026,he,Q108325,resemble,Open_KG,head_,default
12027,my,Q1060890,spectators,Open_KG,head_,default
12028,I,only satisfied,am,Open_KG,head_tail_,default
12029,Q35535,Q1143604,temporarily halted,KG,,default
12030,Q11471,Q183252,is in,KG,,default
12031,Q697327,1799,is in,Open_KG,tail_,default
12032,Q170924,Q588963,is in,KG,,default
12033,that,Q588963,was ideal for,Open_KG,head_,default
12034,Q133346,Q30,is in,KG,,default
12035,Q588963,Q142,is in,KG,,default
12036,Q3295320,Q3250324,one of,KG,,default
12037,Q1165588,Q768575,position of,KG,,default
12038,Q309,Q1860,was,KG,,default
12039,He,Q42213,used pseudonym Evelyn Douglas for,Open_KG,head_,default
12040,Q65119650,Q148,Dream of,KG,,default
12041,Q42213,known,is,Open_KG,tail_,default
12042,Q617332,Q1075,is with,KG,,default
12043,Q42213,Q1200750,is known for,KG,,default
12044,Q235544,Q9415,represent,KG,,default
12045,Q235544,Q1250464,fit well within,KG,,default
12046,Q588963,Q173799,was live,KG,,default
12047,Q170924,Q5240628,is in,KG,,default
12048,Q985671,Q45529,including,KG,,default
12049,Q11398090,Q923819,Clad,KG,,default
12050,Q482980,Q36534,has,KG,,default
12051,Q265868,me,shivered within,Open_KG,tail_,default
12052,Q13119823,me,trembled over,Open_KG,tail_,default
12053,I,Q13648784,froze with,Open_KG,head_,default
12054,Q61989297,Q90,is in,KG,,default
12055,Q588963,Q11042,is with,KG,,default
12056,he,Q35760,associated In,Open_KG,head_,default
12057,Q9061,Q613299,upon,KG,,default
12058,Q461499,Q25095218,films,KG,,default
12059,Q588963,Q183252,survived in,KG,,default
12060,Q588963,Q183252,is said,KG,,default
12061,Q588963,1825,is in,Open_KG,tail_,default
12062,Q164573,Q482,is with,KG,,default
