,subject,relation,object
15022,Yvonne Welbon,has,62 minute documentary Sisters in Cinema 2003
15023,feature films,is in,Hollywood
15024,crime drama film Shaft,for,Big Score 1972
15025,She,eventually became,only black union cameraperson in her time in New York
15026,her,husband,Leroy Patton
15027,Her,works,Will
15028,earning her master 's degree,is in,film
15029,She,began,her film career
15030,earning her master 's degree,is in,UCLA
15031,aunt,between,desire to take
15032,Larkin,has,second film feature
15033,Her ongoing success,is in,film industry
15034,Sarah Maldoror,filmmaker of,Guadeloupean descent
15035,Safi Faye,is with,film about village
15036,Fanta Régina Nacro,Night of,Truth
15037,Mother,has,Day 2004
15038,Tsitsi Dangarembga,Day at_time,2004
15039,history,in film is,Wedding Party
15040,successful film,is in,history of Nollywood
15041,industry,been ongoing,start
15042,Female roles,is in,filmmaking industry
15043,Women,is in,India
15044,Mainstream cinema,is in,India
15045,controversies,raises,suspicion
15046,they,take advantage of,their platform
15047,Other noteworthy Indian women filmmakers,include,Rima Das
15048,whose work,is in,film
15049,Her,rank amongst,many
15050,them,better understand,women 's situations
15051,women,has,situations
15052,immigrant women,is in,abusive environments
15053,aiming,begin together,new life
15054,two sisters,is in,law
15055,movie,was,When first screened in Bombay
15056,Mehta,has,film
15057,Earth,Water at_time,2005
15058,Mehta,has,film Earth 1998
15059,Bapsi Sidhwa,from,Cracking India
15060,Mehta,working on,Water 2005
15061,her last film,Water is at_time,2005
15062,her,film,Water 2005
15063,poverty,is in,city of Varanasi
15064,man,is,lower
15065,man,is,social
15066,child brides,is in,rural parts of India
15067,India,has,image
15068,Mehta,stop,film production
15069,political party,is in,relation to Bharatiya Janatha Party
15070,film,was associated in,organizing attempt by Christian church to revolt against Hinduism
15071,Midnight,of,Children
15072,young working Indian immigrant,is in,New York City
15073,his own new struggles,is in,America
15074,he,dealing with,his own new struggles in America
15075,strippers,is in,Mumbai
15076,her,film,Salaam Bombay
15077,Majority,is in,India
15078,try,awareness regarding,serious social issue
15079,master,has,degree in film production from University of Sydney in Australia
15080,her undergraduate studies,is in,American University
15081,University,is in,Australia
15082,her master 's degree,is in,film production
15083,opening cinemas,is in,Saudi
15084,their,culture,main character
15085,ten year old girl,is in,kingdom
15086,their,culture,Wadjda
15087,their,culture,Waad Mohammed
15088,her work,brings,serious topics Saudis
15089,her work,brings,serious social topics Saudis
15090,refuses,submissive traditional way of,living
15091,overnight change,is in,conservative culture
15092,Err:510,is In,Japan
15093,she,status as,star actress
15094,fig tree,of Memoirs is,directorial debut
15095,Memoirs,debut of,well known actress Kaori Momoi
15096,Grand Prix,is in,Cannes
15097,day,is in,2006
15098,it,was released over,all world
15099,Yong Kim,attention for,her film
15100,contrast,link between,5th generation
15101,controversy,to contrast is,therefore also link between 5th generation
15102,Ning Ying,realize,small independent films
15103,names,is in,Hong Kong industry
15104,her,film,Oxhide
15105,stir,is with,her lesbian love story
15106,female desire,is in,women 's cinema of 1980s
15107,1980s,is in,mainland China
15108,women,in,cinema of 1980s in mainland China
15109,Lindan Hu,has documented,post-Mao re-emergence of female desire in women 's cinema of 1980s in mainland China
15110,she,gained,international acclaim
15111,conservatives,is in,her home country
15112,Pakistan ===,is In,Pakistan
15113,Sabiha Sumar,are,two new names for films in Pakistan
15114,films,is in,Pakistan
15115,Mehreen Jabbar,making,brilliant films
15116,elder stateswoman,is with,documentaries dealing with social pathology
15117,House,documentary of,leper colony in north
15118,leper colony,is in,north of Iran
15119,Shame,film about,Green Revolution
15120,I,subsequently made,two features
15121,Samira,about,film At Five in Afternoon
15122,Samira,has,sister
15123,Madness,of Joy is,behind scenes documentary about Samira 's film At Five in Afternoon
15124,I,made,two features
15125,Joy,documentary about,Samira 's film At Five in Afternoon
15126,Peries,is veteran,cinema
15127,she,is wife of,great Lester James Peries
15128,veteran film director,is in,Sri Lankan cinema
15129,Sri Lanka,of,ambassador to France
15130,Sathyangani,is,acclaimed
15131,Sathyangani,is,Lankan
15132,Sri Lanka,of,film industry
15133,single film,is in,history of Sri Lanka 's film industry
15134,Rodriguez,is,Colombian
15135,Latin American women,is in,cinema
15136,development,is in,Argentina
15137,minimal role,is in,development of cinema
15138,Martel,is major,onda
15139,Lucia Puenzo,is,other prominent contemporary Argentinean director
15140,Ana Carolina,contemporary names,Eliane Caffé
15141,Mexico Women filmmakers,is in,Latin America
15142,first female director,is in,Mexico
15143,Derba,was first female director in,Mexico
15144,Landeta,was,Mexican
15145,Her films,focused on,portrayal of strong realistic female protagonists in patriarchal world
15146,portrayal,is in,patriarchal world
15147,her,brother,Eduardo
15148,Best Direction,is in,Berlin International Film Festival
15149,Best Direction,is in,1956
15150,things,take,turn
15151,Women filmmakers,is in,Mexico
15152,that there would infinite expansion,is in,list of female names as filmmakers
15153,women,of,cinema
15154,female filmmakers,is in,Mexico
15155,stories,is in,their original essence
15156,film industry,is in,Mexico
15157,its new emerged eye opening concept,is in,film industry
15158,new structural change,is in,cinema
15159,geographical cultural change,is in,Mexico
15160,geographical cultural change,new structural change in,cinema
15161,Museum,is in,New York
15162,woman,is in,Mexico
15163,Maria,has,1994 El Jardín del Edén
15164,Elizabeth,is,American
15165,Elizabeth,is,Mexican American
15166,Jane,is,American
15167,film Nora,for,Will
15168,Ariel,is,Mexican Academy of Film Award
15169,United States,of Awards is,Oscars
15170,Mexico,equivalent to,Oscars
15171,film,gives,mysterious photograph left under bed
15172,film mysterious photograph,left under,bed
15173,greatest love stories,sometimes are hidden in,smallest places
15174,Divas,Pictures at_time,2008
15175,Efectos Secundarios,Bros. at_time,2006
15176,Casi Divas,is only Mexican movie,to scored by acclaimed Hollywood composer Hans Zimmer
15177,Europe Bulgaria Binka Zhelyazkova,direct feature film with,Life
15178,Monday Morning,is in,1965
15179,Radka Bachvarova,was Bulgarian director of,animation
15180,Bachvarova,was Bulgarian,animation
15181,her films,is with,Lau Lauritzen Jr.
15182,she,directing films on,her own
15183,she,directing,films
15184,productive directors,is in,Danish cinema
15185,women,has,rights
15186,She,is,also noted
15187,Academy Award,is with,Paw
15188,prominent Alice Guy Blaché,is In,silent era
15189,She,turned to,directing with La Musica
15190,Zabou Breitman,Others,Noémie Lvovsky
15191,Germain Dulac,was around,Avant Garde cinema during 1920s
15192,1854,be,to exact
15193,1854,be,exact
15194,making,is in,year 1926
15195,they,are,able
15196,they,distinguish,film techniques
15197,they,working for,Gaumont
15198,she,being secretary to,head
15199,Gaumont,than,forerunner
15200,her,experience,futuristic side of cinema
15201,her,futuristic side of,cinema
15202,she,has worked on,on years
15203,film industry,is in,France
15204,industry,was,unusual
15205,industry,decline,films
15206,new cinema,is in,France
15207,years,is in,1920
15208,Dulac,was,interested
15209,her interest,is in,still photography
15210,one way,is in,film
15211,poetic,show,emotion
15212,her films,sound,poetic
15213,Dulac,has,work
15214,her,idea of,cinema writing
15215,She,took,one of her techniques of motion photography
15216,She,took,one her techniques of motion photography
15217,unwanted relationship.Agnes Varda,in,work
15218,working female,is in,unwanted relationship.Agnes Varda 's work
15219,facts,shown through,film
15220,Varda,structured,one of her films
15221,there would subjectivity,is in,her films
15222,she,dramatizes narration,already than dramatized
15223,it,is,already dramatized
15224,it,is,already than dramatized
15225,audience,evaluate effectively,her film
15226,Monika Treut,has also won,recognition
15227,her first steps,is in,1971
15228,Akerman,was,Belgian
15229,Belgium Chantal Akerman,was,notable Belgian director
15230,Akerman,was,notable
15231,Most documentaries,showcase,crucial critiques
15232,Most documentaries,showcase,crucial critiques about discriminating females
15233,Norway,between,current filmmaking generation
15234,females,become,film directors
15235,Lokkeberg,have,have strongly influenced by male filmmakers
15236,different film techniques,borrow,styles
15237,areas,is in,States
15238,he,incorporated in,films
15239,he,incorporated in,many films
15240,Skouen,of,work
15241,His films,are,usually based
15242,female figures,is in,his comedic films
15243,Ibsen,has,work
15244,characterization,is,For him key component to making successful films
15245,He,film,scenes
15246,three film directors,borrow,such creative techniques
15247,outdoor settings,Ibsen,long camera shots
15248,Skouen,has,filming styles on social issues
15249,Lokkeberg,has,Story of Kamilla
15250,director Manuela Viegas,',Gloria
15251,Teresa Villaverde,Other Portuguese female directors,Raquel Freire
15252,Spain Ana Mariscal,was pioneer among,Spanish female filmmakers
15253,prolific actress,is in,1940s
15254,She,was prolific,1940s
15255,El camino,adaptation of,novel by Miguel Delibes
15256,former combatant,about fuego is,1959
15257,Spain,from,National Film School
15258,Avila,of,life
15259,Miró,was celebrated,include
15260,Art,adaptation of,Lope de Vega play
15261,Art,is in,Heaven
15262,Heaven,in Art is,adaptation of Lope de Vega play
15263,Art,Prince of,Shadows
15264,Heaven,in Art is,Prince of Shadows 1991
15265,Art,Prince at_time,1991
15266,She,was in,also charge of Spain 's national broadcast television TVE
15267,She,was in,also charge of Spain 's national broadcast television TVE from 1986 to 1989
15268,Spain,of,national broadcast television TVE
15269,Víctor Erice,under,direction in El sur 1983
15270,Víctor Erice 's direction,is in,El sur 1983
15271,Grand Prix award,of winner is,Te doy mis ojos
15272,She,usually films in,English
15273,She films,is in,English
15274,She films,is with,international actors
15275,Me 2003,Without Life is,Secret Life of Words
15276,My Life,Life of,Words
15277,Me 2003,Without Life is,Mark Ruffalo
15278,My,Life,Mark Ruffalo
15279,My,Life,Secret Life of Words
